"","Salary","Position_C","Position_PF","Position_PG","Position_PG-SG","Position_SF","Position_SF-PF","Position_SF-SG","Position_SG","Position_SG-PG","Age","GP","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Total.Minutes","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"342",1782621,0,0,0,0,1,0,0,0,0,25,77,21,23.3,3.2,7.4,0.433,0.9,2.8,0.303,2.4,4.6,0.513,0.49,1.8,2.3,0.789,0.6,3,3.6,2.5,0.7,0.2,1.3,1.5,9.1,1792,11.4,0.539,0.382,0.306,3,14.6,8.8,14.4,1.5,0.7,13,17.8,0.5,2,2.5,0.068,-1.9,0,-1.9,0.1
"343",1782621,1,0,0,0,0,0,0,0,0,23,69,2,10.9,1.8,3,0.593,0,0.1,0.167,1.8,2.9,0.606,0.596,0.6,0.7,0.745,1.6,2.2,3.8,0.4,0.7,0.7,0.7,1.8,4.2,755,19.2,0.62,0.029,0.244,17.8,23.1,20.5,5.3,3,6.3,16.3,16.4,1.2,1.6,2.8,0.18,-1.6,1.5,-0.1,0.4
"344",1782621,0,0,1,0,0,0,0,0,0,23,68,65,29.2,5,10.9,0.459,0.7,2.3,0.285,4.4,8.6,0.506,0.489,2.2,2.5,0.86,0.8,2.8,3.6,6.6,1.3,0.1,1.6,1.4,12.9,1984,16,0.534,0.213,0.231,3,10.8,6.7,31.5,2.1,0.4,11.8,19.3,2.6,0.8,3.4,0.082,-0.2,-0.8,-1,0.5
"345",1752638,0,1,0,0,0,0,0,0,0,26,54,11,17.9,1.7,4,0.431,0.7,2,0.339,1,2,0.523,0.516,0.2,0.5,0.464,1.1,2.4,3.5,0.8,0.7,0.3,0.8,1.5,4.4,969,8.5,0.517,0.505,0.13,6.7,16.4,11.4,6.2,1.9,1.8,16.5,12.5,-0.3,1.3,0.9,0.046,-3.7,0.7,-3.1,-0.3
"346",1752638,1,0,0,0,0,0,0,0,0,24,9,0,9.2,1.8,3,0.593,0.3,0.8,0.429,1.4,2.2,0.65,0.648,0.6,0.7,0.833,0.9,1.7,2.6,0.2,0.2,0.2,0.4,1.8,4.4,83,16.7,0.675,0.259,0.222,10.9,21.9,16.2,3.9,1.2,2.5,11.9,18,0.2,0.1,0.3,0.159,-2.5,-1.5,-3.9,0
"347",1703902,0,1,0,0,0,0,0,0,0,23,31,2,8.5,1.3,2.4,0.52,0.2,0.6,0.263,1.1,1.8,0.607,0.553,0.2,0.4,0.545,0.9,0.6,1.5,0.3,0.1,0.2,0.3,0.8,2.9,264,11,0.557,0.253,0.147,11.4,8.4,9.9,5.1,0.5,2,10.1,14.2,0.2,0.1,0.3,0.054,-2.3,-1.8,-4.1,-0.1
"348",1639842,1,0,0,0,0,0,0,0,0,24,52,16,15.6,1.6,2.1,0.776,0,0,0,1.6,2,0.783,0.776,0.2,0.3,0.75,1.9,2.8,4.7,0.5,0.3,0.5,0.5,1.8,3.4,812,13.8,0.78,0.009,0.15,13.3,19.4,16.4,4,0.9,3.2,19.1,7.4,1.6,0.9,2.6,0.153,-1,0.5,-0.5,0.3
"349",1637966,0,0,0,0,1,0,0,0,0,25,80,8,16.1,2.3,5,0.455,1.8,4.2,0.418,0.5,0.8,0.656,0.631,0.2,0.2,0.706,0.4,2.1,2.6,0.9,0.4,0.3,0.4,1.2,6.4,1290,12.7,0.634,0.846,0.043,3,14.1,8.6,7.6,1.1,1.4,6.9,14.7,1.8,1.6,3.4,0.128,0.6,0.4,1,1
"350",1637966,0,0,0,0,1,0,0,0,0,22,36,4,10.7,1,2.6,0.387,0.5,1.5,0.309,0.5,1.1,0.5,0.478,0.3,0.4,0.733,0.6,1.1,1.7,0.6,0.4,0.2,0.4,1.1,2.8,385,8.4,0.502,0.591,0.161,6.9,11.1,9,7.5,1.7,1.4,11.5,12.7,0.1,0.3,0.4,0.048,-3.2,-0.7,-3.9,-0.2
"351",1575000,0,1,0,0,0,0,0,0,0,21,6,1,10.2,0.5,3.2,0.158,0.2,1.7,0.1,0.3,1.5,0.222,0.184,0.3,0.3,1,0.3,1.7,2,0.7,0.2,0,0.3,0.7,1.5,61,-1,0.226,0.526,0.105,3.8,17.6,10.9,7.9,0.8,0,9.1,15.6,-0.2,0,-0.2,-0.147,-10.3,-3.9,-14.2,-0.2
